person,imagenum,Male,White,Black
Eckhart,1,1.56834639173,1.73720324618,-0.929728671614
Guiel,1,0.169850615079,0.422709344724,-1.28218444066
Patterson,1,0.997748978625,-0.157376927297,-0.756447251994
Peirsol,1,1.12271853446,1.91614437179,-2.51421429402
Peirsol,2,1.07821423781,1.67621103655,-2.2780559446
Peirsol,3,0.850491041965,1.90851688105,-1.87364533911
Peirsol,4,0.944548239019,1.2990556552,-1.40533613558
Pena,1,1.5946711165,0.441401436703,-1.77174635029
Sorkin,1,0.286489110466,0.697239427141,-1.85985361868
Sorkin,2,0.663497024684,0.461610352546,-2.49852970215
Tippin,1,1.91097047587,0.62038775501,-1.16190072851
Eban,1,0.891375914557,-0.0914527694447,-1.73890344946
Kiarostami,1,0.871569840529,0.64171574055,-2.13419240367
Aziz,Al-Hakim,1,-1.32908595043,-0.188061736155
Madi,Shabneh,1,-2.06641841866,0.307685638589
Nasser,Assidi,1,-1.63882894202,-0.800496820968
Nasser,Assidi,2,-1.68056718426,-1.28012472373
Wade,1,1.0250397355,-1.93078231164,1.99412788185
Wade,2,1.3984448685,-0.603755571734,1.43732959229
Wade,3,0.0128328050531,0.561337482385,-1.65627126958
Wade,4,1.2138554721,-1.13271119139,0.963419633179
Kamilov,1,0.752832992637,0.0272483487316,-2.23698157569
1,0.459443754966,-1.5559993302,-1.82766575102,-1.77643278365
2,0.230795840116,-1.16833909285,-2.7723496587,-0.940148560345
3,1.63894340572,-1.93241537506,-2.87332437685,-3.11701360433
4,0.71352387438,-1.17660849658,-2.16519407701,-0.724083219521
Ahmad,Badawi,1,1.08339273081,-1.22851478906
al-Attiyah,1,0.141658843197,-0.0401787717277,-0.609713591711
al-Attiyah,2,1.16143975279,0.0164785378461,-0.269649887394
al-Attiyah,3,1.01419851685,-0.208413763851,-1.15219668993
Gul,1,2.30617499215,0.872450390967,-1.40302681993
Gul,2,2.69692128583,-0.576371647599,-1.0392950924
Gul,3,0.837911149498,-0.257445228978,-1.27761630036
Gul,4,2.49134635423,-0.686600576001,-0.921242335706
Gul,5,1.70530281039,0.457262107939,-2.09713063173
Gul,6,2.00996449588,1.67142101576,-0.766259714475
Gul,7,2.21697663658,1.34252865946,-1.60501162233
Gul,8,1.90425375919,-0.697873924905,-0.789971674202
Gul,9,1.15910224702,-0.299752595712,-0.895784475598
Gul,10,1.33541269203,-0.46106650346,-0.753317806799
Gul,11,1.80787409629,0.0775659577032,-0.590710755885
Gul,12,1.81939103041,0.366600632382,-1.10535742026
Gul,13,2.5334647359,1.02109577724,-1.08744485425
Gul,14,2.37126958211,-0.300184040656,-1.68736231351
Gul,15,1.9325047951,-0.497396225813,-1.40026945469
Gul,17,1.83848900831,0.553933751273,-1.26209957
Gul,18,2.2342961374,1.70867412796,-0.53565273794
Gul,19,2.27646252392,-0.712493892012,-1.30085083503
Nasseef,1,1.11689721003,0.807358958487,-2.68864219286
Sener,1,1.29373950042,-0.850693113658,-0.904234025978
Sener,2,1.43145820624,0.490822686608,-1.7218975438
Majeed,Shobokshi,1,-0.404930049465,-0.223845865675
Rahman,1,1.563117032,-0.745511881634,-0.95323997354
Aguilar,1,0.796818997491,1.08564850533,-2.00071970966
Pacheco,1,0.495492377474,1.35471394927,-2.17608689302
Pacheco,2,1.19177308107,0.151581787767,-1.17670305911
Pacheco,3,2.16665388108,1.26077668965,-3.05948395083
Pacheco,4,0.718392036393,-0.035145522452,-0.00867292067571
Hamid,Mahmud,Al-Tikriti,2.43112834005,-1.97863822347
Hamid,Mahmud,Al-Tikriti,1.57560634019,-1.68414761676
Martinez,1,0.233686495936,-0.147420248921,0.00885749337238
Foxman,1,0.389942560606,0.498856997742,-1.77876226837
Har-Even,1,0.934482082544,0.956929545979,-1.61529807294
Ant,1,0.607375137237,1.82902562321,-2.2106781036
Freier,1,1.79758479191,0.804975517398,-1.66319939764
Herbert,1,1.56089558869,-0.144132323866,-0.248946610276
Kennedy,1,1.76804163588,1.73014143982,-1.79057118847
Mair,1,0.958557866766,0.765918581068,-2.40773184325
Rich,1,1.63779837056,1.1646987329,-2.55203239176
Sandler,1,0.56135356307,1.60467465635,-2.87815111295
Sandler,2,0.960743494907,-0.005179649439,-0.859115516733
Sandler,3,0.711123833241,0.377536004415,-2.95136029474
Sandler,4,1.2583816716,0.233962179067,-2.3962058449
Scott,1,0.939057075965,-0.314256288616,-2.01751884113
Scott,2,1.09740741666,0.649947323041,-1.6597928916
Al-Jubeir,1,0.613337916487,0.809947199178,-2.2447180136
Al-Jubeir,2,1.00089968021,1.09990619979,-1.84717605029
Al-Jubeir,3,0.653894099974,1.09656012479,-1.68069631593
Avila,1,-0.713894802016,-0.267268493136,-2.15529686518
